TICKER,SNAPSHOT_DATE,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY,LOADED_AT
FDR.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
UNI.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
COL.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
JD.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SN.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
CAP.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
LGEN.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
HSBA.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
GEBN.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ASML.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BPE.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ASSA-B.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
PCT.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
HNR1.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BN.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
CTEC.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
III.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ACX.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SHEL.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BAYN.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BEZ.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
AIR.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SHELL.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SGE.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
IMI.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
MTX.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
MB.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BATS.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
IP.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
INGA.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
AZM.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
MONC.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
URW.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
